id_grid,cellCentroidLatitude__,cellCentroidLongitude__,x2_3_7_8TCDD,Oxamyl100G_kg_kg_hectare_,Glyphosate360G_L_L_hectare_,ChromeEtCompos_s_exprim_sEnTantQueCr_,Compos_sOrganiquesVolatilsNonM_thaniques_COVNM_,HydrocarburesAromatiquesPolycycliques_HAP_,MercureEtCompos_s_exprim_sEnTantQueHg_,Particules_PM10_,ZincEtCompos_s_exprim_sEnTantQueZn_,impact_x2_3_7_8TCDD,impact_Oxamyl100G_kg_kg_hectare_,impact_Glyphosate360G_L_L_hectare_,impact_ChromeEtCompos_s_exprim_sEnTantQueCr_,impact_Compos_sOrganiquesVolatilsNonM_thaniques_COVNM_,impact_HydrocarburesAromatiquesPolycycliques_HAP_,impact_MercureEtCompos_s_exprim_sEnTantQueHg_,impact_Particules_PM10_,impact_ZincEtCompos_s_exprim_sEnTantQueZn_,impact
2334,-4.445,25.785,2.61264717152833e-05,6.35075252530423,7.68119420579629,2.66735836154984e-13,8.17875191337854e-12,1.32369211173463e-11,1.87691189186052e-13,8.69479433904386e-12,4.77435120562828e-14,1.02404371825872e-08,2.19482007274514e-11,2.53479408791278e-12,2.20057064827862e-21,6.13406393503391e-20,7.94215267040779e-19,2.65995953314473e-18,2.86928213188447e-18,1.20313650381833e-21,0
2335,-4.445,25.635,2.3419773716209e-05,4.78284065542143,6.19100522924002,1.22920187847164e-13,3.3239724284056e-12,6.12415738563867e-12,8.68366874957627e-14,4.02270954824121e-12,1.9403708877063e-14,1.52858810329368e-08,1.65294973051365e-11,2.04303172564921e-12,1.01409154973911e-21,2.4929793213042e-20,3.6744944313832e-19,1.23064953518995e-18,1.3274941509196e-18,4.88973463701988e-22,0
2336,-4.445,25.485,2.26567549777195e-05,3.44426056439267,4.91551459842303,7.33461522080516e-14,1.82545804370672e-12,3.66284698303957e-12,5.19368590292743e-14,2.40597499453113e-12,1.06561224154327e-14,2.83008342921528e-08,1.58711526807214e-11,2.16282642330614e-12,8.06807674288567e-22,1.82545804370672e-20,2.93027758643166e-19,9.81398888217166e-19,1.0586289975937e-18,3.5804571315854e-22,0
2337,-4.445,25.335,2.38152932328425e-05,2.38870102214734,3.85426613495521,4.7485796088834e-14,1.13675832931123e-12,2.37385030256789e-12,3.36596994337878e-14,1.55928557627022e-12,6.63583369194305e-15,2.64729781685364e-08,8.25535073254119e-12,1.27190782453522e-12,3.9175781773288e-22,8.5256874698342e-21,1.42431018154073e-19,4.77025260375641e-19,5.14564240169173e-19,1.67223009036965e-22,0
2338,-4.445,25.185,2.34850003685286e-05,1.65589355902913,2.91434909129279,2.79895939572292e-14,6.55031329025335e-13,1.40003581352638e-12,1.98516244385166e-14,9.19626502114281e-13,3.82374938891828e-15,2.84908338237293e-08,5.72276814000468e-12,9.6173520012662e-13,2.30914150147141e-22,4.91273496769001e-21,8.40021488115829e-20,2.81337221542657e-19,3.03476745697713e-19,9.63584846007408e-23,0
2339,-4.445,25.035,1.96191016864668e-05,1.24944527614011,2.12113664199916,1.34187567525564e-14,3.08299997694664e-13,6.71515916605839e-13,9.52167198306755e-15,4.41091454615604e-13,1.79970312321257e-15,2.47076612097886e-08,4.31808287434023e-12,6.99975091859724e-13,1.10704743208591e-22,2.31224998270998e-21,4.02909549963503e-20,1.34941135344033e-19,1.45560180023149e-19,4.53525187049567e-23,0
2340,-4.445,24.885,1.423706526153e-05,0.931893745873445,1.43234726586218,5.16849301014434e-15,1.16637014423823e-13,2.58761943348367e-13,3.66908108257167e-15,1.69970181150133e-13,6.8086928578925e-16,1.21152850976869e-08,2.14708319049242e-12,3.1511639848968e-13,2.84267115557938e-23,5.83185072119115e-22,1.03504777339347e-20,3.46654780681372e-20,3.73934398530292e-20,1.14386040012594e-23,0
2341,-4.445,24.735,9.90660532272592e-06,0.521221100814981,0.804027587667884,1.50955040354536e-15,3.32980320004673e-14,7.56177377250522e-14,1.0722118075158e-15,4.96702119831697e-14,1.943774657793e-16,8.48663416184599e-09,1.20089341627772e-12,1.76886069286934e-13,8.30252721949948e-24,1.66490160002336e-22,3.02470950900209e-21,1.01302571574093e-20,1.09274466362973e-20,3.26554142509225e-24,0
2342,-4.445,24.585,6.66839396720256e-06,0.209145474397597,0.352208406095475,2.99904544161135e-16,6.3744155582499e-15,1.50361709702062e-14,2.13203416805475e-16,9.87664828351366e-15,3.72106897827027e-17,8.57463952711723e-09,7.22806759518096e-13,1.16228774011507e-13,2.47421248932937e-24,4.78081166868742e-23,9.0217025821237e-22,3.0215188229672e-21,3.25929393355951e-21,9.37709382524109e-25,0
2343,-4.445,24.435,4.00376724620717e-06,0.079028145411199,0.128801167524187,3.82738176085527e-17,7.54837619323119e-16,1.92210233878326e-15,2.725419835212e-17,1.26255073866196e-15,4.40636917931684e-18,2.40028403670472e-08,1.27456592919182e-12,1.98353797987249e-13,1.47354197792928e-24,2.64193166763092e-23,5.38188654859313e-22,1.80248366221581e-21,1.94432813753942e-21,5.18189015487661e-25,0
2344,-4.445,24.285,2.12443441274338e-06,0.0306658518891374,0.042034262367999,5.56512696883494e-18,1.01860168079832e-16,2.79908216315985e-16,3.96892189033654e-18,1.83860306569841e-16,5.94609345353096e-19,1.09075210339871e-08,4.23924736515435e-13,5.54852263257587e-14,1.83649189971553e-25,3.05580504239496e-24,6.71779719158364e-23,2.24990244119398e-22,2.4269560467219e-22,5.9936622011592e-26,0
